scientific_name,name
Aglaiocercus coelestis,ムラサキフタオハチドリ
Aglaiocercus kingii,アオフタオハチドリ
Agraphospiza rubescens,ヒイロマシコ
Agricola infuscatus,オオチャビタキ
Agricola pallidus,ウスチャヒタキ
Agriornis albicauda,オジロモズタイランチョウ
Agriornis lividus,オオモズタイランチョウ
Agriornis micropterus,モズタイランチョウ
Agriornis montanus,ミヤマモズタイランチョウ
Agriornis murinus,ネズミモズタイランチョウ
Agropsar philippensis,コムクドリ
Agropsar sturninus,シベリアムクドリ
Ailuroedus buccoides,ミミジロネコドリ
Ailuroedus crassirostris,ネコドリ
Ailuroedus geislerorum,チャガシラネコドリ
Ailuroedus maculosus,マダラネコドリ
Ailuroedus melanotis,ミミグロネコドリ
Ailuroedus stonii,キムネネコドリ
Aimophila notosticta,オアハカスズメモドキ
Aimophila rufescens,オオスズメモドキ
Aimophila ruficeps,ズアカスズメモドキ
Aix galericulata,オシドリ
Aix sponsa,アメリカオシ
Akialoa ellisiana,オアフユミハシハワイミツスイ
Akialoa lanaiensis,マウイヌイユミハシハワイミツスイ
Akialoa obscura,ユミハシハワイミツスイ
Akialoa stejnegeri,カウアイユミハシハワイミツスイ
Akletos goeldii,ブラジルアリドリ
Akletos melanoceps,カタジロアリドリ
Alaemon alaudipes,ハシナガヒバリ
Alaemon hamertoni,ヒメハシナガヒバリ
Alauda arvensis,ヒバリ
Alauda gulgula,タイワンヒバリ
Alauda leucoptera,ハジロコウテンシ
Alauda razae,ラザコヒバリ
Alaudala cheleensis,コヒバリ
Alaudala raytal,インドコヒバリ
Alaudala somalica,ソマリアコヒバリ
Alca torda,オオハシウミガラス
Alcedo atthis,カワセミ
Alcedo coerulescens,ヒメアオカワセミ
Alcedo euryzona,アオムネカワセミ
Alcedo hercules,オオカワセミ
Alcedo meninting,ルリカワセミ
Alcedo quadribrachys,ルリハシグロカワセミ
Alcedo semitorquata,ハシグロカワセミ
Alcippe brunneicauda,ムジチメドリ
Alcippe davidi,ダヴィドチメドリ
Alcippe fratercula,ウンナンチメドリ
Alcippe grotei,マユグロチメドリ
Alcippe hueti,フエチメドリ
Alcippe morrisonia,メジロチメドリ
Alcippe nipalensis,ネパールメジロチメドリ
Alcippe peracensis,ヤマチメドリ
Alcippe poioicephala,ハイガシラチメドリ
Alcippe pyrrhoptera,ジャワチメドリ
Alcurus striatus,タテフヒヨドリ
Aleadryas rufinucha,アカエリモズヒタキ
Alectoris barbara,チャエリイワシャコ
Alectoris chukar,イワシャコ
Alectoris graeca,ハイイロイワシャコ
Alectoris magna,オオイワシャコ
Alectoris melanocephala,アラビアイワシャコ
Alectoris philbyi,ノドグロイワシャコ
Alectoris rufa,アカアシイワシャコ
Alectroenas madagascariensis,マダガスカルルリバト
Alectroenas nitidissimus,モーリシャスルリバト
Alectroenas pulcherrimus,セーシェルルリバト
Alectroenas sganzini,コモロルリバト
Alectrurus risora,オナガオンドリタイランチョウ
Alectrurus tricolor,オンドリタイランチョウ
Alectura lathami,ヤブツカツクリ
Alethe castanea,ズアカムジヒタキ
Alethe diademata,アカズキンムジヒタキ
Alipiopsitta xanthops,ワキアカボウシインコ
Alisterus amboinensis,オウインコ
Alisterus chloropterus,キガタキンショウジョウインコ
Alisterus scapularis,キンショウジョウインコ
Alle alle,ヒメウミスズメ
Allenia fusca,ウロコツグミモドキ
Alophoixus bres,ハイガシラカンムリヒヨドリ
